"","drinks.idDrink","drinks.strDrink","drinks.strCategory","drinks.strAlcoholic","drinks.strGlass","drinks.strInstructions","drinks.strDrinkThumb","drinks.strIngredient1","drinks.strIngredient2","drinks.strIngredient3","drinks.strIngredient4","drinks.strIngredient5","drinks.strIngredient6","drinks.strIngredient7","drinks.strIngredient8","drinks.strIngredient9","drinks.strIngredient10","drinks.strIngredient11","drinks.strIngredient12","drinks.strIngredient13","drinks.strIngredient14","drinks.strIngredient15","drinks.strMeasure1","drinks.strMeasure2","drinks.strMeasure3","drinks.strMeasure4","drinks.strMeasure5","drinks.strMeasure6","drinks.strMeasure7","drinks.strMeasure8","drinks.strMeasure9","drinks.strMeasure10","drinks.strMeasure11","drinks.strMeasure12","drinks.strMeasure13","drinks.strMeasure14","drinks.strMeasure15","drinks.dateModified"
"951","12460","Vodka And Tonic","Ordinary Drink","Alcoholic","Highball glass","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",NA,"Vodka","Tonic water","","","","","","","","","","","","","","2 oz ","
","
","
","
","
","
","","","","","","","","",NA
"952","12462","Vodka Collins","Ordinary Drink","Alcoholic","Collins glass","Shake vodka, juice of lemon, and powdered sugar with ice and strain into a collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of orange, lemon, and top with the cherry. Serve with a straw.",NA,"Vodka","Lemon","Powdered sugar","Carbonated water","Cherry","Orange","","","","","","","","","","2 oz ","Juice of 1/2 ","1 tsp ","
","
","
","
","
","
","
","
","","","","",NA
"953","12464","Vodka Gimlet","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Lime juice cordial","Vodka","Powdered sugar","","","","","","","","","","","","","1 oz ","1 1/2 oz ","1 tsp "," "," "," "," "," ","","","","","","","",NA
"954","12466","Vodka Grasshopper","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Green Creme de Menthe","Creme de Cacao","Vodka","","","","","","","","","","","","","3/4 oz ","3/4 oz white ","3/4 oz "," "," "," "," "," ","","","","","","","",NA
"955","12468","Vodka Salty Dog","Ordinary Drink","Alcoholic","Highball glass","Pour all ingredients into a highball glass over ice cubes, stir well, and serve.",NA,"Grapefruit juice","Vodka","Salt","","","","","","","","","","","","","5 oz ","1 1/2 oz ","1/4 tsp "," "," "," "," "," ","","","","","","","",NA
"956","12470","Vodka Sling","Ordinary Drink","Alcoholic","Old-fashioned glass","Dissolve powdered sugar in mixture of water and juice of lemon. Add vodka. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.",NA,"Vodka","Lemon","Powdered sugar","Water","Orange peel","","","","","","","","","","","2 oz ","Juice of 1/2 ","1 tsp ","1 tsp ","Twist of "," "," "," "," "," ","","","","","",NA
"957","12472","Vodka Stinger","Ordinary Drink","Alcoholic","Cocktail glass","Shake ingredients with ice, strain into a cocktail glass, and serve.",NA,"White Creme de Menthe","Vodka","","","","","","","","","","","","","","1 oz ","1 oz "," "," "," "," "," ","","","","","","","","",NA
"958","12474","Waikiki Beachcomber","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.","http://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg","Triple sec","Gin","Pineapple juice","","","","","","","","","","","","","3/4 oz ","3/4 oz ","1 tblsp "," "," "," "," "," ","","","","","","","","2015-09-02 16:43:03"
"959","12476","Wallick Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Gin","Dry Vermouth","Triple sec","","","","","","","","","","","","","1 1/2 oz ","1 1/2 oz ","1 tsp "," "," "," "," "," ","","","","","","","",NA
"960","12478","Ward Eight","Ordinary Drink","Alcoholic","Red wine glass","Shake blended whiskey, juice of lemon, grenadine, and powdered sugar with ice and strain into a red wine glass filled with cracked ice. Add the orange slice, top with the cherry, and serve with a straw.",NA,"Blended whiskey","Lemon","Grenadine","Powdered sugar","Orange","Cherry","","","","","","","","","","2 oz ","Juice of 1/2 ","1 tsp ","1 tsp ","1 slice ","1 "," "," "," "," "," ","","","","",NA
"961","12480","Warsaw Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Vodka","Dry Vermouth","Blackberry brandy","Lemon juice","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1/2 oz ","1 tsp "," "," "," "," "," ","","","","","","",NA
"962","12482","Washington Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Dry Vermouth","Brandy","Sugar syrup","Bitters","","","","","","","","","","","","1 1/2 oz ","3/4 oz ","1/2 tsp ","2 dashes "," "," "," "," "," ","","","","","","",NA
"963","12484","Watermelon","Ordinary Drink","Alcoholic","Collins glass","Shake all ingredients with ice, strain into a collins glass over ice cubes, and serve.",NA,"Strawberry liqueur","Vodka","Sweet and sour","Orange juice","","","","","","","","","","","","1 oz ","1 oz ","1 oz ","1 oz "," "," "," "," "," ","","","","","","",NA
"964","12486","Webster Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Apricot brandy","Dry Vermouth","Gin","Lime","","","","","","","","","","","","1 1/2 tsp ","1/2 oz ","1 oz ","Juice of 1/2 "," "," "," "," "," ","","","","","","",NA
"965","12488","Wedding Belle Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Dubonnet Rouge","Gin","Cherry brandy","Orange juice","","","","","","","","","","","","3/4 oz ","3/4 oz ","1 1/2 tsp ","1 1/2 tsp "," "," "," "," "," ","","","","","","",NA
"966","12490","Weep-No-More Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Dubonnet Rouge","Brandy","Maraschino liqueur","Lime","","","","","","","","","","","","3/4 oz ","3/4 oz ","1/4 tsp ","Juice of 1/2 "," "," "," "," "," ","","","","","","",NA
"967","12492","Wembly Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Gin","Dry Vermouth","Apricot brandy","Apple brandy","","","","","","","","","","","","1 1/2 oz ","3/4 oz ","1/4 tsp ","1/2 tsp "," "," "," "," "," ","","","","","","",NA
"968","12494","Western Rose","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Apricot brandy","Dry Vermouth","Gin","Lemon juice","","","","","","","","","","","","1/2 oz ","1/2 oz ","1 oz ","1/4 tsp "," "," "," "," "," ","","","","","","",NA
"969","12496","What The Hell","Ordinary Drink","Alcoholic","Old-fashioned glass","Stir all ingredients with ice cubes in an old-fashioned glass and serve.",NA,"Dry Vermouth","Gin","Apricot brandy","Lemon juice","","","","","","","","","","","","1 oz ","1 oz ","1 oz ","1 dash "," "," "," "," "," ","","","","","","",NA
"970","12498","Whip Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Sweet Vermouth","Dry Vermouth","Brandy","Triple sec","Anis","","","","","","","","","","","1/2 oz ","1/2 oz ","1 1/2 oz ","1 tsp ","1/4 tsp "," "," "," "," "," ","","","","","",NA
"971","12500","Whiskey Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.",NA,"Blended whiskey","Sugar syrup","Bitters","Cherry","","","","","","","","","","","","2 oz ","1 tsp ","1 dash ","1 "," "," "," "," "," ","","","","","","",NA
"972","12502","Whiskey Collins","Ordinary Drink","Alcoholic","Collins glass","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of orange, lemon, and top with the cherry. Serve with a straw.",NA,"Blended whiskey","Powdered sugar","Lemon","Carbonated water","Cherry","Orange","","","","","","","","","","2 oz ","1 tsp ","Juice of 1/2 ","
","
","
","
","
","
","
","
","","","","",NA
"973","12504","Whiskey Eggnog","Ordinary Drink","Alcoholic","Collins glass","Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinke nutmeg on top and serve.",NA,"Blended whiskey","Powdered sugar","Egg","Milk","Nutmeg","","","","","","","","","","","2 oz ","1 tsp ","1 whole ","5 oz ","
","
","
","
","
","
","","","","","",NA
"974","12506","Whiskey Fix","Ordinary Drink","Alcoholic","Highball glass","Shake juice of lemon and powdered sugar with ice and strain into a highball glass over ice cubes. Add blended whiskey and stir. Add the slice of lemon and serve with a straw.",NA,"Blended whiskey","Lemon","Powdered sugar","Lemon","","","","","","","","","","","","2 1/2 oz ","Juice of 1/2 ","1 tsp ","1 slice "," "," "," "," "," ","","","","","","",NA
"975","12508","Whiskey Flip","Ordinary Drink","Alcoholic","Whiskey sour glass","Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.",NA,"Blended whiskey","Light cream","Powdered sugar","Egg","Nutmeg","","","","","","","","","","","1 1/2 oz ","2 tsp ","1 tsp ","1 whole ","
","
","
","
","
","
","","","","","",NA
"976","12510","Whiskey Highball","Ordinary Drink","Alcoholic","Highball glass","Pour blended whiskey into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon peel and serve.",NA,"Blended whiskey","Carbonated water","Lemon peel","","","","","","","","","","","","","2 oz ","
","
","
","
","
","
","
","","","","","","","",NA
"977","12512","Whiskey Milk Punch","Ordinary Drink","Alcoholic","Collins glass","Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.",NA,"Blended whiskey","Powdered sugar","Milk","Nutmeg","","","","","","","","","","","","2 oz ","1 tsp ","8 oz ","
","
","
","
","
","
","","","","","","",NA
"978","12514","Whiskey Rickey","Ordinary Drink","Alcoholic","Highball glass","Pour blended whiskey and juice of lime into a highball glass over ice cubes. Fill with carbonated water and stir. Drop the wedge of lime in glass and serve.",NA,"Blended whiskey","Lime","Carbonated water","Lime","","","","","","","","","","","","1 1/2 oz ","Juice of 1/2 ","
","
","
","
","
","
","
","","","","","","",NA
"979","12516","Whiskey Sour","Ordinary Drink","Alcoholic","Whiskey sour glass","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the half-slice of lemon, top with the cherry, and serve.","http://www.thecocktaildb.com/images/media/drink/ttyqqx1439907410.jpg","Blended whiskey","Lemon","Powdered sugar","Cherry","Lemon","","","","","","","","","","","2 oz ","Juice of 1/2 ","1/2 tsp ","1 ","1/2 slice "," "," "," "," "," ","","","","","","2015-08-18 15:16:50"
"980","12518","Whisky Mac","Ordinary Drink","Alcoholic","vote","Pour both of the ingredients into a wine goblet with no ice.",NA,"Scotch","Wine","","","","","","","","","","","","","","1 1/2 oz ","1 oz Green Ginger "," "," "," "," "," ","","","","","","","","",NA
"981","12520","White Heart","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Sambuca","Creme de Cacao","Cream","","","","","","","","","","","","","1/2 oz ","1/2 oz white ","2 oz "," "," "," "," "," ","","","","","","","",NA
"982","12522","White Lady","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filler with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Gin","Egg white","Light cream","Sugar","","","","","","","","","","","","2 oz ","1 ","1 oz ","1 tsp superfine "," "," "," "," "," ","","","","","","",NA
"983","12524","White Lily Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Light rum","Gin","Triple sec","Anisette","","","","","","","","","","","","3/4 oz ","3/4 oz ","3/4 oz ","1/4 tsp "," "," "," "," "," ","","","","","","",NA
"984","12526","White Lion Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Light rum","Lemon","Grenadine","Powdered sugar","Bitters","","","","","","","","","","","1 1/2 oz ","Juice of 1/2 ","1/2 tsp ","1 tsp ","2 dashes "," "," "," "," "," ","","","","","",NA
"985","12528","White Russian","Ordinary Drink","Alcoholic","Old-fashioned glass","Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.","http://www.thecocktaildb.com/images/media/drink/rwwyrs1439906186.jpg","Vodka","Coffee liqueur","Light cream","","","","","","","","","","","","","2 oz ","1 oz ","
","
","
","
","
","
","","","","","","","","2015-08-18 14:56:26"
"986","12530","White Way Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake ingredients with ice, strain into a cocktail glass, and serve.",NA,"Gin","White Creme de Menthe","","","","","","","","","","","","","","1 1/2 oz ","3/4 oz "," "," "," "," "," ","","","","","","","","",NA
"987","12532","Why Not?","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Apricot brandy","Gin","Dry Vermouth","Lemon juice","","","","","","","","","","","","1 oz ","1 oz ","1/2 oz ","1 dash "," "," "," "," "," ","","","","","","",NA
"988","12534","Widow Woods' Nightcap","Ordinary Drink","Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"Scotch","Dark Creme de Cacao","Milk","","","","","","","","","","","","","2 oz ","1/2 oz ","4 oz "," "," "," "," "," ","","","","","","","",NA
"989","12536","Widow's Kiss","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Brandy","Yellow Chartreuse","Benedictine","Bitters","","","","","","","","","","","","1 oz ","1/2 oz ","1/2 oz ","1 dash "," "," "," "," "," ","","","","","","",NA
"990","12538","Will Rogers","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Gin","Dry Vermouth","Triple sec","Orange juice","","","","","","","","","","","","1 1/2 oz ","1/2 oz ","1 dash ","1 tblsp "," "," "," "," "," ","","","","","","",NA
"991","12540","Woo Woo","Ordinary Drink","Alcoholic","Highball glass","Pour all ingredients into a highball glass over ice cubes, stir, and serve.",NA,"Peach schnapps","Vodka","Cranberry juice","","","","","","","","","","","","","1 1/2 oz ","1 1/2 oz ","3 1/2 oz "," "," "," "," "," ","","","","","","","",NA
"992","12542","Woodward Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Dry Vermouth","Scotch","Grapefruit juice","","","","","","","","","","","","","1/2 oz ","1 1/2 oz ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"993","12544","X.Y.Z. Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Light rum","Triple sec","Lemon juice","","","","","","","","","","","","","1 oz ","1/2 oz ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"994","12546","Xanthia Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Cherry brandy","Gin","Yellow Chartreuse","","","","","","","","","","","","","3/4 oz ","3/4 oz ","3/4 oz "," "," "," "," "," ","","","","","","","",NA
"995","12548","Xeres Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir ingredients with ice, strain into a cocktail glass, and serve.",NA,"Sherry","Orange bitters","","","","","","","","","","","","","","2 oz dry ","1 dash "," "," "," "," "," ","","","","","","","","",NA
"996","12550","Yale Cocktail","Ordinary Drink","Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Dry Vermouth","Gin","Blue Curacao","Bitters","","","","","","","","","","","","1/2 oz ","1 1/2 oz ","1 tsp ","1 dash "," "," "," "," "," ","","","","","","",NA
"997","12552","Yellow Rattler","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except cocktail onion) with ice and strain into a cocktail glass. Add the cocktail onion and serve.",NA,"Gin","Sweet Vermouth","Dry Vermouth","Orange juice","Cocktail onion","","","","","","","","","","","1 oz ","1/2 oz ","1/2 oz ","1 tblsp ","1 "," "," "," "," "," ","","","","","",NA
"998","12554","Yellow Strawberry","Ordinary Drink","Alcoholic","Whiskey sour glass","Shake all ingredients (except banana slice) with ice and strain into a chilled whiskey sour glass. Garnish with the banana slice and serve.",NA,"Light rum","Creme de Banane","Strawberries","Sweet and sour","Banana","","","","","","","","","","","1 oz ","1/2 oz ","4 oz ","1 oz ","1 slice "," "," "," "," "," ","","","","","",NA
"999","12556","Yolanda","Ordinary Drink","Alcoholic","Cocktail glass","Shake all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.",NA,"Gin","Brandy","Sweet Vermouth","Anisette","Grenadine","Orange peel","","","","","","","","","","1/2 oz ","1/2 oz ","1 oz ","1/2 oz ","1 dash ","Twist of "," "," "," "," "," ","","","","",NA
"1000","12558","Zombie #1","Ordinary Drink","Alcoholic","Collins glass","Shake all ingredients (except 151 proof rum) with ice and strain into a collins glass over ice cubes. Float the 151 proof rum on top, add a cherry (if desired), and serve.",NA,"Light rum","Creme de Almond","Sweet and sour","Triple sec","Orange juice","151 proof rum","","","","","","","","","","1 oz ","1/2 oz ","1 1/2 oz ","1/2 oz ","1 1/2 oz ","1/2 oz "," "," "," "," "," ","","","","",NA
"1001","12560","Afterglow","Cocktail","Non alcoholic","vote","Mix. Serve over ice.",NA,"Grenadine","Orange juice","Pineapple juice","","","","","","","","","","","","","1 part ","4 parts ","4 parts "," "," "," "," "," ","","","","","","","",NA
"1002","12562","Alice Cocktail","Cocktail","Non alcoholic","Cocktail glass","Shake well, strain into a large cocktail glass.",NA,"Grenadine","Orange juice","Pineapple juice","Cream","","","","","","","","","","","","1 cl ","1 cl ","2 cl ","4 cl "," "," "," "," "," ","","","","","","",NA
"1003","12564","Apple Karate","Cocktail","Non alcoholic","vote","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",NA,"Apple juice","Carrot","","","","","","","","","","","","","","2 cups ","1 large "," "," "," "," "," ","","","","","","","","",NA
"1004","12566","Berry-Berry","Cocktail","Non alcoholic","vote","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",NA,"Berries","Milk","Honey","","","","","","","","","","","","","1 cup ","1 cup ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"1005","12568","Black & Blue Berries","Cocktail","Non alcoholic","vote","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",NA,"Blueberries","Blackberries","Soda water","Honey","Lemon juice","","","","","","","","","","","2/3 cup ","1/3 cup ","1 cup ","2 tblsp ","1 tsp "," "," "," "," "," ","","","","","",NA
"1006","12570","Bobby Cocktail","Cocktail","Non alcoholic","Cocktail glass","Shake well and strain into a large cocktail glass.",NA,"Orange juice","Lemon juice","Sugar syrup","Cream","","","","","","","","","","","","1 cl ","1 cl ","1 tsp ","6 cl "," "," "," "," "," ","","","","","","",NA
"1007","12572","Bora Bora","Cocktail","Non alcoholic","Highball glass","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",NA,"Pineapple juice","Passion fruit juice","Lemon juice","Grenadine","","","","","","","","","","","","10 cl ","6 cl ","1 cl ","1 cl "," "," "," "," "," ","","","","","","",NA
"1008","12574","Cranberry Juice Cocktail","Cocktail","Non alcoholic","vote","Wash the cranberries and put them into a nonreactive saucepan with the water, a pinch of salt and if you wish, the orange slices. Cook over medium heat until all the berries burst -- about 10 minutes. Pour the fruit and liquid into a cheesecloth-lined sieve. Strain the juice to the saucepan, add the sugar and boil for two or three minutes. Taste and add more sugar if it is needed. Cool and chill the juice before serving.",NA,"Cranberries","Water","Salt","Orange","Sugar","","","","","","","","","","","1 lb ","5 cups ","
"," slices
","
","
","
","
","
","
","","","","","",NA
"1009","12576","End Wrench","Cocktail","Non alcoholic","vote","Add ice. Tastes remarkably like a screwdriver.",NA,"Orange juice","Tonic water","Ice","","","","","","","","","","","","","1 part ","1 part ","
","
","
","
","
","
","","","","","","","",NA
"1010","12578","Grapefruit and Orange Cocktail","Cocktail","Non alcoholic","Cocktail glass","Mix and stir with ice in a mixing glass, strain off into a large cocktail glass.",NA,"Orange juice","Grapefruit juice","","","","","","","","","","","","","","2 cl ","6 cl "," "," "," "," "," ","","","","","","","","",NA
"1011","12580","Grapefruit Lemonade","Cocktail","Non alcoholic","vote","Place some ice cubes in a large tumbler, add grenadine syrup and grapefruit juice, top up with soda water. Stir a little and serve with a drinking straw.",NA,"Grenadine","Grapefruit juice","Soda water","","","","","","","","","","","","","2 cl ","6 cl ","
","
","
","
","
","
","","","","","","","",NA
"1012","12582","Hot Buttered Rum Batter #1","Cocktail","Optional alcohol","Irish coffee cup","Blend all ingredients in a food processer or mixer and store in the fridge or freezer. To make a drink add a shot of good dark rum along with 1 or 2 tbl spoons of batter to a mug of very hot water. Serve in irish coffee cup.",NA,"Brown sugar","Butter","Nutmeg","Cinnamon","Cloves","Cardamom","Vanilla extract","","","","","","","","","1 lb ","1/2 lb salted ","1 tsp ground ","1 tsp ground ","1 tsp ground ","1 tsp ground white ","1 tsp "," "," "," "," "," ","","","",NA
"1013","12584","Hot Buttered Rum Batter #2","Cocktail","Optional alcohol","Irish coffee cup","Blend all ingredients in a food processer or mixer and store in the fridge or freezer. To make a drink add a shot of good dark rum along with 1 or 2 tbl spoons of batter to a mug of very hot water. Serve in irish coffee cup.",NA,"Brown sugar","Sugar","Butter","Vanilla ice-cream","","","","","","","","","","","","1/2 cup ","1/2 cup white ","1/2 lb ","1 pint good quality "," "," "," "," "," ","","","","","","",NA
"1014","12586","Hot Lemonade","Cocktail","Non alcoholic","vote","Squeeze the juice of the lemon into a 10-oz. glass. Add maple syrup and a dash of cayenne pepper. Fill with ice water. Stir. Drink.",NA,"Lemon","Maple syrup","Cayenne pepper","","","","","","","","","","","","","Juice of 1 ","2 tblsp ","
","
","
","
","
","
","","","","","","","",NA
"1015","12588","Kanaan","Cocktail","Non alcoholic","Highball glass","Prepare in a blender with a little ice, serve in a highball glass.",NA,"Milk","Egg","Honey","","","","","","","","","","","","","15 cl ","1 raw ","2 tsp "," "," "," "," "," ","","","","","","","",NA
"1016","12590","Lemon Cocktail","Cocktail","Non alcoholic","Cocktail glass","Stir orange juice and lemon juice with ice in a mixing glass. Strain into a cocktail glass.",NA,"Orange juice","Lemon juice","","","","","","","","","","","","","","2 cl ","6 cl "," "," "," "," "," ","","","","","","","","",NA
"1017","12592","Lemon Flip","Cocktail","Non alcoholic","Highball glass","Put several ice cubes in a shaker, add egg yolk, sugar syrup and lemon juice. Shake very well and strain into a highball glass. Serve with a drinking straw.",NA,"Egg yolk","Sugar syrup","Lemon juice","","","","","","","","","","","","","1 ","2 tsp ","4 cl "," "," "," "," "," ","","","","","","","",NA
"1018","12594","Lemon Squash","Cocktail","Non alcoholic","Highball glass","Mix lemon juice with sugar syrup in a highball glass, stir well and fill up with soda water. Serve with drinking straw.",NA,"Lemon juice","Sugar syrup","Soda water","","","","","","","","","","","","","9 cl ","3 tsp ","
","
","
","
","
","
","","","","","","","",NA
"1019","12596","Honey Lemonade","Cocktail","Non alcoholic","vote","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",NA,"Soda water","Lemon juice","Honey","","","","","","","","","","","","","2 cups ","1/2 cup ","2 tblsp "," "," "," "," "," ","","","","","","","",NA
"1020","12598","Lucky Driver","Cocktail","Optional alcohol","Highball glass","Prepare in a blender or shaker, serve in a highball glass with 2-3 ice cubes. Garnish with one orange slice, and one lemon slice. Use only fresh squeezed juice for best result!",NA,"Coconut liqueur","Lemon juice","Pineapple juice","Grapefruit juice","Orange juice","Sugar syrup","","","","","","","","","","1 cl ","2 cl ","5 cl ","5 cl ","5 cl ","15 cl "," "," "," "," "," ","","","","",NA
"1021","12600","Mint Julep #3","Cocktail","Alcoholic","vote","In electric blender, blend on high for a few seconds, until leaves are reduced. Strain into silver tumbler packed with shaved ice, add more Bourbon to saturate the ice, garnish with a sprig of mint.",NA,"Mint","Sugar syrup","Bourbon","Angostura bitters","","","","","","","","","","","","8 medium-size ","1.5 tblsp ","1.5 oz ","1/4 tsp "," "," "," "," "," ","","","","","","",NA
"1022","12602","Grenadine Cocktail","Cocktail","Non alcoholic","vote","The proportions are approximate, vary according to taste. Mix together, serve with lots of ice.",NA,"Grenadine","Orange juice","Pineapple juice","","","","","","","","","","","","","1 part ","4 parts ","4 parts "," "," "," "," "," ","","","","","","","",NA
"1023","12604","Orangatang","Cocktail","Non alcoholic","vote","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",NA,"Orange juice","Cranberry juice","","","","","","","","","","","","","","1 cup ","1 cup "," "," "," "," "," ","","","","","","","","",NA
"1024","12606","Orange Cocktail","Cocktail","Non alcoholic","Cocktail glass","Stir lemon juice and orange juice in a mixing glass, strain into a large cocktail glass.",NA,"Lemon juice","Orange juice","","","","","","","","","","","","","","2 cl ","6 cl "," "," "," "," "," ","","","","","","","","",NA
"1025","12608","Orange Cooler","Cocktail","Non alcoholic","vote","Put several ice cubes in a large tumbler, add sugar syrup and orange juice, top up with ginger ale. Stir.",NA,"Orange juice","Sugar syrup","Ginger ale","","","","","","","","","","","","","9 cl ","2 tsp ","
","
","
","
","
","
","","","","","","","",NA
"1026","12610","Orange Flip","Cocktail","Non alcoholic","vote","Mix in a blender.",NA,"Orange juice","Egg yolk","Honey","","","","","","","","","","","","","10 cl ","1 ","1 tblsp "," "," "," "," "," ","","","","","","","",NA
"1027","12612","Orange Smile","Cocktail","Non alcoholic","vote","Shake egg, grenadine syrup, orange juice, and several ice cubes well. Strain into a small tumbler, serve with a drinking straw.",NA,"Egg","Grenadine","Orange juice","","","","","","","","","","","","","1 ","2 tsp ","10 cl "," "," "," "," "," ","","","","","","","",NA
"1028","12614","Orange Squash","Cocktail","Non alcoholic","vote","Put one ice cube in a large tumbler, add lemon juice and orange juice. Stir well. Serve sugar and cold water on the side, so the guest can modify the taste, and a drinking straw and a spoon.",NA,"Lemon juice","Orange juice","","","","","","","","","","","","","","3 cl ","10 cl "," "," "," "," "," ","","","","","","","","",NA
"1029","12616","Orange Velvet","Cocktail","Non alcoholic","Cocktail glass","Shake cream, pineapple juice and orange juice with some ice. Strain into a large cocktail glass.",NA,"Cream","Pineapple juice","Orange juice","","","","","","","","","","","","","2 cl ","2 cl ","5 cl "," "," "," "," "," ","","","","","","","",NA
"1030","12618","Orangeade","Cocktail","Non alcoholic","Highball glass","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.","http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg","Lemon juice","Orange juice","Sugar syrup","Soda water","","","","","","","","","","","","5 cl ","15 cl ","2-3 cl ","
","
","
","
","
","
","","","","","","","2015-09-02 05:22:12"
"1031","12620","Orgeat Lemonade","Cocktail","Non alcoholic","vote","Mix lemon juice and orgeat syrup in a tumbler with 2-3 small ice cubes. Fill up with soda water and stir.",NA,"Lemon juice","Orgeat syrup","Soda water","","","","","","","","","","","","","3 cl ","5 cl ","
","
","
","
","
","
","","","","","","","",NA
